layer,sourceId,name,countryCode,accepted,inputBbox,normalizedBbox,maxLongitudeJump,antimeridianSplitCount,postSplitMaxComponentLongitudeSpan,polarStatus,repairStatus,tileReplicationCount,rejectedReason
adm1,12653393B40111500734429,Kandahar,AFG,True,"[64.49415347854159,29.53912741790905,67.7902343685347,32.48036650466948]","[64.49415347854159,29.53912741790905,67.7902343685347,32.48036650466948]",0.549655489,0,3.29608089,within_safe_vector_latitude,not_run+unchanged,4,
adm1,12653393B56617740339660,Zabul,AFG,True,"[66.2751873965875,31.443778785357956,68.10797382182494,33.154602253960775]","[66.2751873965875,31.443778785357956,68.10797382182494,33.154602253960775]",0.440704377,0,1.832786425,within_safe_vector_latitude,not_run+unchanged,4,
adm1,12653393B46006342616872,Uruzgan,AFG,True,"[65.19628006161372,32.28630114074348,66.9841323072069,33.30701140773172]","[65.19628006161372,32.28630114074348,66.9841323072069,33.30701140773172]",0.549655489,0,1.787852246,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B78791504725813,Daykundi,AFG,True,"[65.27419706002797,33.06964570416703,67.4108860042046,34.42127791048789]","[65.27419706002797,33.06964570416703,67.4108860042046,34.42127791048789]",0.623614917,0,2.136688944,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B29313712249365,Ghanzi,AFG,True,"[66.76157396239078,32.04563598167342,68.78347057686993,34.2478964596801]","[66.76157396239078,32.04563598167342,68.78347057686993,34.2478964596801]",0.502691291,0,2.021896614,within_safe_vector_latitude,not_run+unchanged,2,
adm1,12653393B93572570471663,Paktika,AFG,True,"[67.89188646223373,31.60488,69.50618706887768,33.419860760537524]","[67.89188646223373,31.60488,69.50618706887768,33.419860760537524]",0.502691291,0,1.614300607,within_safe_vector_latitude,not_run+unchanged,2,
adm1,12653393B66876919073955,Khost,AFG,True,"[69.45871979343963,33.029535381417844,70.27517624306539,33.730900776725655]","[69.45871979343963,33.029535381417844,70.27517624306539,33.730900776725655]",0.425020636,0,0.81645645,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B16859990709200,Paktia,AFG,True,"[68.76070046472475,33.172270547134225,70.02879436363817,33.99780188318849]","[68.76070046472475,33.172270547134225,70.02879436363817,33.99780188318849]",0.464347628,0,1.268093899,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B769191277822,Logar,AFG,True,"[68.68691019455879,33.62258539600532,69.90366322420145,34.35479981005792]","[68.68691019455879,33.62258539600532,69.90366322420145,34.35479981005792]",0.564149786,0,1.21675303,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B94990201402617,Wardak,AFG,True,"[67.29231314606284,33.725847569345824,68.95672812892363,34.79914756023416]","[67.29231314606284,33.725847569345824,68.95672812892363,34.79914756023416]",0.616358309,0,1.664414983,within_safe_vector_latitude,not_run+unchanged,2,
adm1,12653393B60423242182357,Kabul,AFG,True,"[68.82598433018208,34.24319647686222,69.93603091452943,34.891348015260405]","[68.82598433018208,34.24319647686222,69.93603091452943,34.891348015260405]",0.564149786,0,1.110046584,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B37348667052817,Nangarhar,AFG,True,"[69.52087791488502,33.97564,71.125455781238,34.79701837196053]","[69.52087791488502,33.97564,71.125455781238,34.79701837196053]",0.613661224,0,1.604577866,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B74990608680346,Laghman,AFG,True,"[69.78937038605005,34.43585223619442,70.61463406179955,35.232967952015684]","[69.78937038605005,34.43585223619442,70.61463406179955,35.232967952015684]",0.400207369,0,0.825263676,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B3541911159736,Kapisa,AFG,True,"[69.2655103492615,34.68429098469319,69.93603091452943,35.29147622321518]","[69.2655103492615,34.68429098469319,69.93603091452943,35.29147622321518]",0.425962698,0,0.670520565,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B66863807863315,Parwan,AFG,True,"[68.16074438509897,34.65847306581068,69.69109714708769,35.43827944903804]","[68.16074438509897,34.65847306581068,69.69109714708769,35.43827944903804]",0.616358309,0,1.530352762,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B47875238778335,Panjshir,AFG,True,"[69.25045341404343,35.12962869107075,70.23181980500848,35.87195040385574]","[69.25045341404343,35.12962869107075,70.23181980500848,35.87195040385574]",0.454041051,0,0.981366391,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B2374338391952,Kunar,AFG,True,"[70.55486532603314,34.50506375921664,71.63539901781377,35.517641425967106]","[70.55486532603314,34.50506375921664,71.63539901781377,35.517641425967106]",0.422714084,0,1.080533692,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B50755551382850,Nuristan,AFG,True,"[69.9237196065881,34.916993797487656,71.57043267829842,36.032027515957516]","[69.9237196065881,34.916993797487656,71.57043267829842,36.032027515957516]",0.567385262,0,1.646713072,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B95407416206470,Baghlan,AFG,True,"[67.99147936446347,35.073993361632894,69.94777828811786,36.55703782651578]","[67.99147936446347,35.073993361632894,69.94777828811786,36.55703782651578]",0.460003581,0,1.956298924,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B40451261903281,Bamyan,AFG,True,"[66.41713706315616,33.96768406294475,68.20962602087988,35.48202990436684]","[66.41713706315616,33.96768406294475,68.20962602087988,35.48202990436684]",1.069048776,0,1.792488958,within_safe_vector_latitude,not_run+unchanged,2,
adm1,12653393B17428819721147,Samangan,AFG,True,"[66.92243058855436,35.4256880679291,68.4465040707901,36.57222567301766]","[66.92243058855436,35.4256880679291,68.4465040707901,36.57222567301766]",1.069048776,0,1.524073482,within_safe_vector_latitude,not_run+unchanged,2,
adm1,12653393B86260556017558,Kunduz,AFG,True,"[68.05254860869768,36.27667051389066,69.33547047349545,37.31000343963141]","[68.05254860869768,36.27667051389066,69.33547047349545,37.31000343963141]",0.459059029,0,1.282921865,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B65816425001124,Takhar,AFG,True,"[69.18419294042282,35.809170075797766,70.43615734058409,37.60100599800317]","[69.18419294042282,35.809170075797766,70.43615734058409,37.60100599800317]",0.460003581,0,1.2519644,within_safe_vector_latitude,not_run+unchanged,1,
adm1,12653393B32704257785092,Balkh,AFG,True,"[66.44782422077654,35.67825993680879,68.17313926278885,37.357635479924724]","[66.44782422077654,35.67825993680879,68.17313926278885,37.357635479924724]",0.430852506,0,1.725315042,within_safe_vector_latitude,not_run+unchanged,2,
